location,type,url,job_title
Boston,full-time,https://boston.craigslist.org/gbs/sof/d/stoneham-entry-level-full-stack-web/7162923502.html,Entry Level Full Stack Web Developer
Los Angeles,full-time,https://losangeles.craigslist.org/sfv/sof/d/computer-engineers/7165292655.html,Computer Engineers
Detroit,full-time,https://detroit.craigslist.org/mcb/sof/d/sterling-heights-net-applications/7163347156.html,.NET Applications Engineer II
Austin,full-time,https://austin.craigslist.org/sof/d/austin-senior-network-engineer/7163038436.html,Senior Network Engineer
Miami,full-time,https://miami.craigslist.org/mdc/sof/d/new-york-ai-sports-startup-seeks/7162967378.html,A.I. Sports Startup seeks talented iOS engineer [remote position]
New York,part-time,https://newyork.craigslist.org/mnh/sof/d/new-york-co-founder-software-engineer/7165253609.html,Co-Founder/Software Engineer
Seattle,full-time,https://seattle.craigslist.org/see/sof/d/sunnyvale-the-ultimate-internship/7165439547.html,THE ULTIMATE INTERNSHIP – BECOME AN IT EXPERT IN 5 MONTHS
Los Angeles,full-time,https://losangeles.craigslist.org/wst/sof/d/el-segundo-systems-administrator/7164480510.html,Systems Administrator / Storage Administrator
Detroit,full-time,https://detroit.craigslist.org/wyn/sof/d/detroit-sr-cnet-developer-full-time/7156977293.html,Sr. C#.NET Developer [full-time]
Austin,employee's choice,https://austin.craigslist.org/sof/d/austin-looking-for-tech-co-founder/7160752840.html,Looking for tech co-founder
Miami,full-time,https://miami.craigslist.org/pbc/sof/d/west-palm-beach-software-developer/7158794845.html,Software Developer
New York,full-time,https://newyork.craigslist.org/mnh/sof/d/new-york-full-stack-engineer-per-year/7164041702.html,"Full-stack Engineer | $100,000 - $140,000 per year"
Seattle,full-time,https://seattle.craigslist.org/skc/sof/d/seattle-systems-integration-engineer/7164651246.html,Systems Integration Engineer | $75 - $85 per hour
Los Angeles,full-time,https://losangeles.craigslist.org/lgb/sof/d/long-beach-want-career-in-it-or-tech-we/7163987692.html,Want a career in IT or Tech? We can help
Austin,full-time,https://austin.craigslist.org/sof/d/austin-data-science-fellowship/7160062084.html,Data Science Fellowship
Miami,full-time,https://miami.craigslist.org/mdc/sof/d/miami-business-process-analyst/7154417466.html,Business Process Analyst
New York,full-time,https://newyork.craigslist.org/que/sof/d/astoria-want-career-in-it-or-tech-we/7163988308.html,Want a career in IT or Tech? We can help
Seattle,full-time,https://seattle.craigslist.org/see/sof/d/seattle-senior-programmer/7164570835.html,Senior Programmer
Boston,full-time,https://boston.craigslist.org/gbs/sof/d/boston-data-science-fellowship/7154502465.html,Data Science Fellowship
Boston,full-time,https://boston.craigslist.org/gbs/sof/d/new-york-ai-sports-startup-seeks/7162965582.html,A.I. Sports Startup seeks talented iOS engineer [remote position]
Detroit,full-time,https://detroit.craigslist.org/wyn/sof/d/detroit-want-career-in-it-or-tech-we/7164072697.html,Want a career in IT or Tech? We can help
Boston,contract,https://boston.craigslist.org/nwb/sof/d/westford-data-engineer-software-engineer/7162309783.html,Data Engineer / Software Engineer
Austin,full-time,https://austin.craigslist.org/sof/d/austin-senior-full-stack-engineer/7164043579.html,Senior Full-stack Engineer | HireArt | Remote
Miami,full-time,https://miami.craigslist.org/brw/sof/d/fort-lauderdale-dot-net-developer/7163044701.html,DOT NET DEVELOPER
Los Angeles,part-time,https://losangeles.craigslist.org/wst/sof/d/venice-technical-internship/7162981421.html,Technical Internship
Austin,full-time,https://austin.craigslist.org/sof/d/austin-data-migration-engineer/7159989239.html,Data Migration Engineer
New York,full-time,https://newyork.craigslist.org/brk/sof/d/brooklyn-5-seats-left-get-paid-to-learn/7163793776.html,5 Seats Left: Get Paid to Learn Digital Marketing (Remote to Onsite)
Seattle,full-time,https://seattle.craigslist.org/see/sof/d/seattle-want-career-in-it-or-tech-we/7164076441.html,Want a career in IT or Tech? We can help
Boston,full-time,https://boston.craigslist.org/gbs/sof/d/boston-senior-director-it-and-security/7151122983.html,"Senior Director, IT and Security"
Detroit,employee's choice,https://detroit.craigslist.org/okl/sof/d/ferndale-job-opportunities-for/7162829622.html,Job Opportunities for Bilingual Professionals
Los Angeles,full-time,https://losangeles.craigslist.org/wst/sof/d/santa-monica-seeking-awesome-laravel/7164606236.html,Seeking awesome Laravel developers (IN-HOUSE or REMOTE))
Austin,full-time,https://austin.craigslist.org/sof/d/new-york-ai-sports-startup-seeks/7162973541.html,A.I. Sports Startup seeks talented iOS engineer [remote position]
Miami,contract,https://miami.craigslist.org/mdc/sof/d/miami-remote-programmer-ms-web/7162840784.html,Remote Programmer - MS Web Application Programmer
New York,contract,https://newyork.craigslist.org/brk/sof/d/brooklyn-need-help-getting-into-my/7164405765.html,Need help getting into my GMAIL account
Los Angeles,full-time,https://losangeles.craigslist.org/sfv/sof/d/computer-engineers/7161277856.html,Computer Engineers
Austin,full-time,https://austin.craigslist.org/sof/d/austin-want-career-in-it-or-tech-we-can/7158300072.html,Want a career in IT or Tech? We can help
New York,part-time,https://newyork.craigslist.org/que/sof/d/sunnyside-business-computer-instructors/7163228071.html,Business Computer Instructors
